,Seqname,GCCoW: GC content of whole sequence,GCCo1: GC content of 1st position of codons,GCCo2: GC content of 2nd position of codons,GCCo3: GC content of 3rd position of codons,GCC1V: GCCo1 variance frame score,GCC2V: GCCo2 variance frame score,GCC3V: GCCo3 variance frame score
57,ENST00000417765.1,0.428349,0.415888,0.457944,0.411215,0.001986,0.002095,0.002289
58,ENST00000414894.1,0.487671,0.443836,0.50137,0.517808,0.004847,0.005464,0.00564
59,ENST00000417273.1,0.444186,0.425581,0.418605,0.488372,0.004661,0.004472,0.004227
60,ENST00000561542.1,0.368096,0.381364,0.346189,0.376736,0.001095,0.001072,0.001051
61,ENST00000562082.1,0.330283,0.346405,0.329412,0.315033,0.000727,0.000748,0.000747
62,ENST00000580623.1,0.4,0.407143,0.385714,0.407143,0.000462,0.00041,0.00055
63,ENST00000445450.1,0.471053,0.489474,0.457895,0.465789,0.000728,0.000939,0.001138
64,ENST00000486015.1,0.654459,0.683121,0.621019,0.659236,0.002878,0.00315,0.003331
65,ENST00000484411.1,0.643556,0.674667,0.650667,0.605333,0.003609,0.003523,0.003497
66,ENST00000527641.1,0.614286,0.6,0.616071,0.626786,0.000639,0.000499,0.000515
67,ENST00000420424.1,0.402066,0.396226,0.413747,0.396226,0.000307,0.000322,0.000294
68,ENST00000439559.2,0.52875,0.530271,0.520231,0.535747,0.000189,0.000187,0.000175
69,ENST00000562983.1,0.387255,0.389706,0.389706,0.382353,4.7e-05,4e-05,4.9e-05
70,ENST00000427300.1,0.493573,0.462725,0.470437,0.547558,0.006982,0.006613,0.006897
71,ENST00000449197.1,0.397706,0.378585,0.372849,0.441683,0.004549,0.004758,0.005009
72,ENST00000427846.1,0.436582,0.47263,0.428571,0.408545,0.00312,0.002891,0.002938
73,ENST00000444375.1,0.374392,0.393841,0.374392,0.354943,0.001068,0.001177,0.001188
74,ENST00000594818.1,0.561798,0.586517,0.606742,0.492135,0.01095,0.010711,0.011244
75,ENST00000597488.1,0.500516,0.489164,0.53096,0.481424,0.002127,0.002153,0.002084
76,ENST00000598368.1,0.471667,0.47819,0.464737,0.472075,0.000133,0.000121,0.000134
77,ENST00000564352.1,0.495398,0.494218,0.503422,0.488553,0.000167,0.000166,0.000157
78,ENST00000424371.2,0.528139,0.551948,0.525974,0.506494,0.001413,0.001217,0.001212
79,ENST00000423419.1,0.476695,0.463983,0.432203,0.533898,0.008391,0.008508,0.008122
80,ENST00000421206.1,0.39,0.39,0.4425,0.3375,0.008179,0.008138,0.007466
81,ENST00000528844.1,0.472145,0.455432,0.48468,0.476323,0.000724,0.000627,0.000553
82,ENST00000531977.1,0.432937,0.412564,0.443124,0.443124,0.001005,0.000873,0.000797
83,ENST00000553459.1,0.514837,0.507418,0.547478,0.489614,0.002606,0.002548,0.002351
84,ENST00000533844.1,0.597765,0.553073,0.597765,0.642458,0.006319,0.006646,0.006621
85,ENST00000568280.1,0.484218,0.483871,0.483871,0.484912,2e-06,3e-06,3e-06
86,ENST00000528466.1,0.514991,0.460317,0.502646,0.582011,0.011834,0.011391,0.011253
87,ENST00000530595.1,0.477061,0.498925,0.464516,0.467742,0.001068,0.001102,0.001083
88,ENST00000543817.1,0.504348,0.511304,0.526957,0.474783,0.002068,0.002117,0.001954
89,ENST00000526036.1,0.448456,0.409146,0.495788,0.440433,0.005795,0.005875,0.005784
90,ENST00000602322.1,0.356201,0.374011,0.362137,0.332454,0.001348,0.001385,0.001396
91,ENST00000530422.1,0.402266,0.407932,0.331445,0.467422,0.014266,0.014142,0.015279
92,ENST00000561652.1,0.344416,0.367886,0.324467,0.340896,0.001437,0.00141,0.001398
93,ENST00000561746.1,0.349275,0.35,0.343478,0.354348,9.1e-05,9e-05,8.6e-05
94,ENST00000578923.1,0.530726,0.486034,0.506145,0.6,0.01134,0.011095,0.011198
95,ENST00000530002.1,0.53534,0.549738,0.553665,0.502618,0.002332,0.00242,0.002533
96,ENST00000525716.2,0.421382,0.428142,0.415373,0.420631,0.000121,0.000128,0.000122
97,ENST00000537514.1,0.447391,0.437553,0.455518,0.449102,0.000255,0.000239,0.000222
98,ENST00000318291.4,0.519599,0.523701,0.519599,0.515497,4.5e-05,3.8e-05,3.8e-05
99,ENST00000382215.3,0.525407,0.524928,0.550815,0.500479,0.001885,0.001882,0.001832
100,ENST00000535078.1,0.544615,0.572308,0.581538,0.48,0.009087,0.008737,0.00933
101,ENST00000537616.1,0.397129,0.405502,0.38756,0.398325,0.000241,0.000224,0.000245
102,ENST00000540198.1,0.457921,0.430693,0.438119,0.50495,0.005313,0.005023,0.005279
103,ENST00000536029.1,0.515021,0.579399,0.495708,0.469957,0.00949,0.010173,0.01034
104,ENST00000394742.3,0.4075,0.4125,0.3975,0.4125,0.000229,0.000195,0.000127
105,ENST00000538231.1,0.330416,0.354486,0.275711,0.36105,0.006814,0.006953,0.006624
106,ENST00000499948.2,0.399198,0.414089,0.400344,0.383162,0.0007,0.000731,0.000733
107,ENST00000562691.2,0.368091,0.358696,0.367539,0.37804,0.000285,0.000295,0.000295
108,ENST00000501211.2,0.36227,0.350028,0.370061,0.366722,0.000349,0.000342,0.000346
109,ENST00000551972.1,0.450581,0.47093,0.422965,0.457849,0.001824,0.001944,0.001785
110,ENST00000550644.1,0.477193,0.505263,0.473684,0.452632,0.001981,0.002199,0.002235
111,ENST00000552441.1,0.548077,0.528846,0.576923,0.538462,0.001974,0.00211,0.001926
112,ENST00000549388.1,0.425331,0.431002,0.374291,0.470699,0.00718,0.007194,0.007734
113,ENST00000551890.1,0.639719,0.595782,0.695958,0.627417,0.007996,0.007552,0.008147
114,ENST00000553176.1,0.511166,0.506203,0.461538,0.565757,0.008499,0.008539,0.009098
115,ENST00000602327.1,0.498845,0.512702,0.471132,0.512702,0.001741,0.001615,0.001358
116,ENST00000547492.1,0.397892,0.403162,0.387352,0.403162,0.000251,0.000276,0.000227
117,ENST00000553102.1,0.424113,0.421277,0.417021,0.434043,0.000261,0.000292,0.000261
118,ENST00000504409.3,0.392622,0.384529,0.397516,0.395822,0.000151,0.000148,0.00015
119,ENST00000539987.1,0.466003,0.537313,0.462687,0.39801,0.014302,0.014829,0.014756
120,ENST00000528549.1,0.478729,0.474862,0.474033,0.487293,0.000171,0.000166,0.00016
121,ENST00000538335.1,0.665079,0.67619,0.666667,0.652381,0.00036,0.000315,0.000306
122,ENST00000602988.1,0.415913,0.406872,0.428571,0.412297,0.000398,0.000501,0.000601
123,ENST00000598905.1,0.442605,0.463576,0.440397,0.423841,0.00114,0.001031,0.001041
124,ENST00000601318.1,0.455814,0.488372,0.460465,0.418605,0.003565,0.003332,0.003286
125,ENST00000451298.1,0.41412,0.399104,0.430717,0.41254,0.00076,0.000781,0.000798
126,ENST00000436290.2,0.382687,0.39403,0.385075,0.368955,0.000468,0.000432,0.000438
127,ENST00000581816.1,0.367126,0.338091,0.349902,0.413386,0.004967,0.004919,0.004965
128,ENST00000458403.2,0.591984,0.640604,0.581472,0.553876,0.005795,0.005972,0.005992
129,ENST00000561786.1,0.512902,0.516437,0.516437,0.505832,0.000107,0.000102,9.6e-05
130,ENST00000602192.1,0.539707,0.543562,0.527371,0.548188,0.000365,0.000355,0.000395
131,ENST00000454005.1,0.602632,0.623684,0.607895,0.576316,0.001537,0.001363,0.00147
132,ENST00000554988.1,0.594044,0.630094,0.568966,0.583072,0.002948,0.002758,0.00256
133,ENST00000548322.1,0.451777,0.446701,0.51269,0.395939,0.010216,0.010239,0.010694
134,ENST00000556613.1,0.572491,0.64684,0.546468,0.524164,0.012451,0.013212,0.012923
135,ENST00000553985.1,0.542205,0.547804,0.520672,0.55814,0.001132,0.001143,0.001099
136,ENST00000554403.1,0.507924,0.500396,0.509905,0.513471,0.000145,0.000159,0.000156
137,ENST00000556379.1,0.448808,0.447055,0.471248,0.428121,0.001394,0.001397,0.00143
138,ENST00000554036.1,0.555992,0.548134,0.601179,0.518664,0.00518,0.005084,0.004757
139,ENST00000552511.1,0.375622,0.380597,0.335821,0.410448,0.00435,0.004294,0.003991
140,ENST00000550118.2,0.418719,0.408867,0.394089,0.453202,0.002947,0.002878,0.002725
141,ENST00000557373.1,0.52291,0.534247,0.532829,0.501653,0.000996,0.000973,0.000952
142,ENST00000603474.1,0.542751,0.557621,0.579926,0.490706,0.006145,0.006381,0.007059
143,ENST00000553463.1,0.521008,0.546218,0.504202,0.512605,0.001345,0.001079,0.000894
144,ENST00000554129.1,0.498044,0.495437,0.511082,0.487614,0.000424,0.00043,0.000456
145,ENST00000555162.1,0.430052,0.367876,0.450777,0.471503,0.009274,0.008885,0.009001
146,ENST00000556225.1,0.369487,0.382598,0.346841,0.379023,0.001162,0.00108,0.000997
147,ENST00000557412.1,0.454054,0.475676,0.464865,0.421622,0.002335,0.002494,0.002407
148,ENST00000555037.1,0.43722,0.457399,0.43722,0.41704,0.001111,0.000908,0.000904
149,ENST00000554309.1,0.472362,0.467337,0.447236,0.502513,0.002447,0.002493,0.002695
150,ENST00000554123.1,0.360558,0.358566,0.340637,0.38247,0.001383,0.001365,0.00162
151,ENST00000556640.1,0.450909,0.414545,0.507273,0.430909,0.007413,0.007138,0.007582
152,ENST00000554032.1,0.399457,0.358696,0.375,0.464674,0.010196,0.010828,0.011146
153,ENST00000554532.2,0.480614,0.460863,0.504755,0.476225,0.001506,0.001444,0.001522
154,ENST00000558267.1,0.520868,0.450751,0.530885,0.580968,0.013324,0.012802,0.012701
155,ENST00000555070.1,0.524336,0.477876,0.557522,0.537611,0.005377,0.004909,0.004612
156,ENST00000555562.1,0.581244,0.568245,0.598886,0.576602,0.000768,0.000817,0.000756
157,ENST00000557745.1,0.478571,0.521429,0.453571,0.460714,0.004072,0.003848,0.003723
158,ENST00000602422.1,0.490752,0.451295,0.488286,0.532676,0.005143,0.004932,0.004941
159,ENST00000551361.1,0.343636,0.327273,0.370909,0.332727,0.001713,0.001907,0.001618
160,ENST00000547292.1,0.573482,0.589457,0.517572,0.613419,0.007564,0.007675,0.007233
161,ENST00000553149.1,0.594542,0.596491,0.608187,0.578947,0.000596,0.000594,0.000759
162,ENST00000580438.1,0.35119,0.367063,0.323413,0.363095,0.001747,0.001688,0.001798
163,ENST00000602663.1,0.401106,0.426202,0.393024,0.384092,0.001456,0.001496,0.001483
164,ENST00000559094.1,0.497987,0.531544,0.479195,0.483221,0.002453,0.002663,0.002783
165,ENST00000558109.1,0.560855,0.597039,0.547697,0.537829,0.002863,0.002647,0.002544
166,ENST00000559841.1,0.424419,0.395349,0.424419,0.453488,0.002691,0.00301,0.003013
167,ENST00000560545.1,0.524735,0.540636,0.545936,0.487633,0.00299,0.002875,0.002711
168,ENST00000560750.1,0.482159,0.483074,0.458371,0.505032,0.001669,0.001666,0.001769
169,ENST00000313807.4,0.49773,0.502969,0.495634,0.494586,5.8e-05,6.7e-05,7e-05
170,ENST00000558323.1,0.473684,0.468421,0.457895,0.494737,0.001155,0.001111,0.000993
171,ENST00000568314.1,0.561798,0.582665,0.577849,0.52488,0.002944,0.003111,0.003012
172,ENST00000563103.1,0.5,0.545455,0.477273,0.477273,0.004337,0.005038,0.004686
173,ENST00000559134.1,0.538995,0.561525,0.499133,0.556326,0.003595,0.00344,0.003741
174,ENST00000560359.1,0.495063,0.490832,0.473907,0.520451,0.001736,0.001768,0.001644
175,ENST00000561289.1,0.424188,0.422383,0.438628,0.411552,0.000537,0.000569,0.000434
176,ENST00000558593.1,0.392505,0.390533,0.408284,0.378698,0.000643,0.000627,0.000479
177,ENST00000560248.1,0.419643,0.428571,0.381696,0.448661,0.003624,0.00353,0.003989
178,ENST00000560067.1,0.472678,0.532787,0.42623,0.459016,0.008674,0.007962,0.00858
179,ENST00000559861.1,0.429032,0.420968,0.479032,0.387097,0.006445,0.006506,0.006845
180,ENST00000561191.1,0.562937,0.513986,0.645105,0.52972,0.015473,0.015808,0.015292
181,ENST00000559285.1,0.515086,0.50431,0.543103,0.497845,0.001792,0.001735,0.00188
182,ENST00000559702.1,0.600877,0.539474,0.723684,0.539474,0.034246,0.032633,0.031034
183,ENST00000566291.1,0.415777,0.392575,0.434339,0.420418,0.001373,0.001334,0.001366
184,ENST00000564194.5,0.431117,0.443286,0.432855,0.41721,0.000503,0.000477,0.00048
185,ENST00000562965.1,0.56044,0.550296,0.562975,0.568047,0.000277,0.000314,0.000305
186,ENST00000565416.1,0.595238,0.561224,0.647959,0.576531,0.006497,0.006182,0.005884
187,ENST00000568853.1,0.569149,0.510638,0.614362,0.582447,0.008821,0.008055,0.008682
188,ENST00000602975.1,0.376488,0.388393,0.334821,0.40625,0.004192,0.004242,0.004042
189,ENST00000559366.1,0.454006,0.458457,0.458457,0.445104,0.000153,0.000131,9.9e-05
190,ENST00000558935.1,0.458506,0.429461,0.510373,0.435685,0.006125,0.005866,0.006339
191,ENST00000560068.1,0.474012,0.461251,0.481793,0.478992,0.00038,0.0004,0.000388
192,ENST00000560461.1,0.485465,0.523256,0.436047,0.497093,0.005966,0.005721,0.00543
193,ENST00000565467.1,0.671229,0.669082,0.677134,0.667472,8e-05,8.2e-05,7.7e-05
194,ENST00000562570.1,0.654252,0.647114,0.664804,0.650838,0.000263,0.000271,0.000261
195,ENST00000565139.1,0.570312,0.585938,0.546875,0.578125,0.001259,0.001125,0.00137
196,ENST00000563837.1,0.655319,0.651064,0.702128,0.612766,0.00595,0.005898,0.005707
197,ENST00000582881.1,0.397338,0.379278,0.404943,0.407795,0.000774,0.000713,0.000739
198,ENST00000583030.1,0.491146,0.479963,0.498602,0.494874,0.000299,0.000315,0.000326
199,ENST00000580979.1,0.451535,0.446117,0.471403,0.437086,0.000944,0.000961,0.001012
200,ENST00000578389.1,0.386946,0.51049,0.370629,0.27972,0.040077,0.04122,0.041277
201,ENST00000587012.1,0.391089,0.425743,0.386139,0.361386,0.003104,0.002954,0.002937
202,ENST00000577557.1,0.457604,0.468371,0.43607,0.468371,0.001047,0.000984,0.000874
203,ENST00000560400.1,0.345051,0.371672,0.347099,0.316382,0.002284,0.002232,0.002233
204,ENST00000591237.1,0.50576,0.518433,0.50288,0.495968,0.000378,0.000412,0.00042
205,ENST00000592195.1,0.510093,0.493789,0.552019,0.484472,0.004016,0.004071,0.003933
206,ENST00000591166.1,0.530504,0.509284,0.533156,0.549072,0.001292,0.001421,0.001402
207,ENST00000592897.1,0.635209,0.577132,0.62069,0.707804,0.013798,0.014164,0.013984
208,ENST00000589451.1,0.579525,0.559415,0.592322,0.586837,0.001025,0.000835,0.000958
209,ENST00000591365.1,0.640304,0.627346,0.648794,0.644772,0.000405,0.000425,0.000413
210,ENST00000590522.1,0.525907,0.528497,0.536269,0.512953,0.000368,0.000398,0.000311
211,ENST00000590495.1,0.674847,0.621166,0.717791,0.685583,0.007475,0.007742,0.00755
212,ENST00000433001.1,0.494518,0.483553,0.496711,0.503289,0.000337,0.000283,0.000277
213,ENST00000548801.1,0.522814,0.521293,0.526996,0.520152,4e-05,3.7e-05,4.5e-05
214,ENST00000582096.1,0.394684,0.421667,0.387837,0.374547,0.001749,0.001692,0.001682
215,ENST00000577267.1,0.405572,0.39497,0.400148,0.421598,0.000606,0.000597,0.000592
216,ENST00000579003.1,0.635692,0.651692,0.624,0.631385,0.000594,0.000563,0.000587
217,ENST00000583841.1,0.528571,0.507143,0.510714,0.567857,0.003611,0.003485,0.003577
218,ENST00000582348.1,0.564516,0.602151,0.564516,0.526882,0.004038,0.00439,0.004387
219,ENST00000584597.1,0.471326,0.489247,0.462366,0.462366,0.000658,0.000522,0.000466
220,ENST00000582564.1,0.476065,0.491436,0.517787,0.418972,0.00782,0.007783,0.007863
221,ENST00000577270.1,0.442607,0.464547,0.400636,0.462639,0.003968,0.003995,0.004065
222,ENST00000579201.1,0.447099,0.537543,0.455631,0.348123,0.026741,0.027399,0.027365
223,ENST00000579125.1,0.669196,0.660091,0.680577,0.66692,0.000338,0.00036,0.000335
224,ENST00000580948.1,0.581053,0.524211,0.656842,0.562105,0.014185,0.014661,0.015573
225,ENST00000591956.1,0.469424,0.447842,0.501799,0.458633,0.002482,0.002683,0.002952
226,ENST00000587743.1,0.463039,0.451407,0.450281,0.48743,0.00136,0.001381,0.001361
227,ENST00000565256.1,0.526742,0.520259,0.529984,0.529984,0.000108,8.3e-05,7.4e-05
228,ENST00000572151.1,0.574692,0.553603,0.564148,0.606327,0.00251,0.002316,0.002393
229,ENST00000573394.1,0.549808,0.557471,0.551724,0.54023,0.000181,0.000254,0.000253
230,ENST00000577000.1,0.618221,0.559653,0.631236,0.663774,0.008967,0.009454,0.009602
231,ENST00000582866.1,0.436987,0.427293,0.441834,0.441834,0.000219,0.000205,0.000212
232,ENST00000570869.1,0.452862,0.429293,0.454545,0.474747,0.001667,0.001881,0.001861
233,ENST00000583253.1,0.326025,0.317445,0.331745,0.328885,0.000183,0.000159,0.000175
234,ENST00000581613.1,0.371528,0.401042,0.333333,0.380208,0.003577,0.003304,0.003692
235,ENST00000583558.1,0.459732,0.468121,0.468121,0.442953,0.00058,0.000637,0.000581
236,ENST00000579580.1,0.503886,0.376943,0.501295,0.63342,0.049987,0.050792,0.050654
237,ENST00000586922.2,0.471018,0.452533,0.49361,0.46691,0.001309,0.001291,0.001267
238,ENST00000596923.1,0.427432,0.382775,0.444976,0.454545,0.004713,0.00511,0.004953
239,ENST00000599934.1,0.440647,0.426259,0.453237,0.442446,0.000595,0.000493,0.000584
240,ENST00000589440.1,0.557915,0.573359,0.521236,0.579151,0.003088,0.00323,0.003541
241,ENST00000588803.1,0.455285,0.445122,0.45122,0.469512,0.000557,0.000471,0.000436
242,ENST00000587933.1,0.469573,0.455041,0.441417,0.512262,0.004326,0.004387,0.004508
243,ENST00000585279.1,0.380952,0.440476,0.345238,0.357143,0.007962,0.007552,0.00739
244,ENST00000577806.1,0.460568,0.454259,0.495268,0.432177,0.003052,0.003084,0.002911
245,ENST00000581192.1,0.572104,0.595745,0.58156,0.539007,0.002405,0.00221,0.002114
246,ENST00000575722.1,0.559713,0.535032,0.578025,0.566083,0.001521,0.001603,0.001545
247,ENST00000573860.1,0.654846,0.624113,0.64539,0.695035,0.004337,0.004583,0.004464
248,ENST00000589360.1,0.683186,0.706195,0.695575,0.647788,0.002709,0.00296,0.002897
249,ENST00000600056.1,0.627193,0.614035,0.631579,0.635965,0.000468,0.000541,0.000518
250,ENST00000588798.1,0.646296,0.622222,0.638889,0.677778,0.002655,0.002809,0.00274
251,ENST00000592671.1,0.448179,0.521008,0.386555,0.436975,0.013562,0.012633,0.013523
252,ENST00000549131.1,0.605469,0.662109,0.544922,0.609375,0.010173,0.010794,0.01017
253,ENST00000590274.1,0.441708,0.46798,0.433498,0.423645,0.001534,0.001335,0.001288
254,ENST00000586816.1,0.441176,0.460784,0.382353,0.480392,0.008232,0.007917,0.007237
255,ENST00000586885.1,0.457581,0.456009,0.443048,0.473684,0.00072,0.000717,0.000746
256,ENST00000594557.1,0.366098,0.349893,0.379957,0.368443,0.000695,0.000715,0.000725
257,ENST00000593653.1,0.451439,0.393885,0.544964,0.415468,0.020145,0.020658,0.019891
258,ENST00000598922.1,0.503497,0.487762,0.54021,0.482517,0.003053,0.003184,0.002906
259,ENST00000594230.1,0.329333,0.33,0.352,0.306,0.001575,0.001573,0.001621
260,ENST00000586954.1,0.428571,0.405945,0.4126,0.467169,0.003425,0.003476,0.003511
261,ENST00000586784.1,0.493902,0.484756,0.452744,0.544207,0.00663,0.006549,0.006851
262,ENST00000590628.1,0.563296,0.532584,0.575281,0.582022,0.002221,0.002317,0.002364
263,ENST00000588318.1,0.5625,0.520833,0.597222,0.569444,0.00469,0.00511,0.004793
264,ENST00000588784.1,0.556018,0.557268,0.536027,0.574761,0.001142,0.001144,0.001179
265,ENST00000592716.1,0.506969,0.491289,0.47561,0.554007,0.005361,0.005221,0.004968
266,ENST00000604333.1,0.416,0.408,0.3984,0.4416,0.00162,0.001697,0.0016
267,ENST00000588286.1,0.56226,0.550754,0.555357,0.58067,0.000792,0.000804,0.00081
268,ENST00000473572.2,0.648673,0.658407,0.70885,0.578761,0.012804,0.012833,0.013151
269,ENST00000587278.1,0.427259,0.3951,0.404288,0.482389,0.007106,0.006908,0.006759
270,ENST00000587060.1,0.485075,0.492537,0.474627,0.48806,0.000253,0.000211,0.000154
271,ENST00000588040.1,0.303676,0.308824,0.288971,0.313235,0.000505,0.000515,0.000587
272,ENST00000594299.1,0.539683,0.536508,0.520635,0.561905,0.001324,0.001331,0.001373
273,ENST00000595395.1,0.407346,0.345576,0.450751,0.42571,0.009233,0.008881,0.008505
274,ENST00000587128.1,0.388965,0.418605,0.384405,0.363885,0.002265,0.002193,0.002185
275,ENST00000590369.1,0.466981,0.509434,0.459906,0.431604,0.004419,0.003977,0.00404
276,ENST00000588655.1,0.498258,0.501742,0.538328,0.454704,0.005179,0.005189,0.004892
277,ENST00000598754.1,0.521277,0.542553,0.485106,0.53617,0.002968,0.002787,0.002457
278,ENST00000601263.1,0.522422,0.477578,0.571749,0.517937,0.006859,0.006395,0.005956
279,ENST00000595673.1,0.509868,0.513158,0.493421,0.523026,0.000747,0.000742,0.000987
280,ENST00000602172.1,0.383951,0.350432,0.383951,0.417471,0.003414,0.003356,0.003354
281,ENST00000596521.1,0.500232,0.519258,0.517865,0.463573,0.002991,0.002951,0.002987
282,ENST00000600068.1,0.448463,0.396022,0.471971,0.477396,0.006423,0.00606,0.00622
283,ENST00000600047.1,0.401444,0.409386,0.420217,0.374729,0.001668,0.001637,0.001688
284,ENST00000593427.1,0.363551,0.357915,0.367074,0.365665,7.5e-05,8.3e-05,8.6e-05
285,ENST00000595422.1,0.508349,0.556586,0.517625,0.450835,0.00832,0.007944,0.008011
286,ENST00000594562.1,0.475634,0.426901,0.508772,0.491228,0.005766,0.006256,0.005944
287,ENST00000595302.1,0.573239,0.546479,0.585915,0.587324,0.001647,0.001583,0.001613
288,ENST00000597309.1,0.484634,0.446809,0.48227,0.524823,0.004874,0.00449,0.004445
289,ENST00000597980.1,0.587719,0.573684,0.547368,0.642105,0.007431,0.007512,0.007775
290,ENST00000423704.1,0.5,0.523973,0.446918,0.52911,0.006399,0.006213,0.005837
